id,x28_code,avam_code,code
2454948d-cd71-4cc1-945f-274075a5b967,11000803,68056,34501020
41a7d1aa-7122-4da1-99ed-b5b8133aceac,11000804,68056,34501020
c58c286e-b822-4f9c-9adf-6b44d2c3009c,11000805,61203,29112122
618a82bb-4442-4495-baa3-6814dbd47a4e,11000806,61700,29106020
4a93548c-4491-4bde-b20b-b32f3dba3f98,11000807,88818,33101286
8822bc7c-edca-420e-9a4c-aca368f4d00e,11000808,88818,33101286
83af4714-b685-413f-a7fe-49f3b9427f20,11000809,88625,33301020
06304be8-acb1-45cf-b241-7b84b81fc4ad,11000810,88625,33301020
91c7b37b-7081-45f2-96f5-07f71823210b,11000811,88604,29102001
54799816-ed37-4fef-98c4-7f3471dc4d8f,11000812,92819,46104005
4ae1430f-1cd6-44a0-83cf-c9d8ebb46033,11000813,63900,29207027
a944d491-c6bd-4002-8f07-9f8efe8581d2,11000814,68027,31109016
ca037322-37ae-4057-8910-083239869604,11000817,88501,45304003
ea306ab6-c166-4b89-b546-403d3aad2ea4,11000818,34710,27104112
d3c09d18-251d-4274-b02d-0047365460bc,11000819,88608,25507043
e632be27-bab0-41de-8e90-49374e7cf678,11000820,60918,29112060
4f7ac00e-e98e-4012-916f-0ece5aa4f663,11000821,90360,38304051
ee877e11-fb51-45e2-9a4c-c9afa08159ea,11000822,60311,29112132
